BatteryLevel,CPUCycles,Checkpoint
98.81,9,false
97.36,2012,false
96.77,4016,true
94.22,6020,true
93.16,8024,true
93.49,10028,true
93.69,14036,false
91.62,16038,false
91.70,18040,true
90.81,22046,false
91.58,24050,true
81.15,30062,false
81.57,32066,true
81.81,34070,false
83.37,36074,false
82.95,38078,false
82.12,40082,true
81.67,42086,true
80.99,44090,true
79.34,46094,true
75.04,48098,true
74.61,50102,true
74.45,52106,true
74.36,54110,true
75.07,56114,true
74.55,58118,false
73.01,60122,true
72.66,62126,true
72.59,64127,true
78.14,66128,true
77.54,68129,false
24.38,70131,true
24.43,71132,false
22.94,72134,false
22.02,73136,false
15.32,74138,false
14.19,75140,true
21.03,76142,true
19.80,80150,false
27.64,81152,true
27.30,83156,false
27.05,85158,false
26.06,88164,false
24.13,90167,false
28.53,92170,false
27.37,94173,false
27.39,97179,false
25.72,99181,false
24.01,101186,false
22.20,103188,false
21.14,105197,false
19.98,107202,false
18.45,108204,true
16.99,109207,true
31.46,110208,true
40.02,111211,false
39.10,112212,true
48.06,115217,false
46.89,116219,true
45.68,117221,true
44.21,118222,true
42.88,119223,true
42.60,120225,true
42.26,121227,true
39.92,122228,true
28.90,123229,false
26.62,124230,false
28.74,125233,false
43.02,126236,false
42.61,127238,true
51.38,128243,true
51.17,129246,true
50.86,130249,true
50.80,131250,true
50.03,132252,true
56.07,133254,true
56.26,134255,true
56.44,135257,true
56.18,136258,true
55.38,137260,true
54.98,138261,true
54.48,139262,true
54.06,140263,true
53.66,141265,true
52.30,142266,true
51.33,143267,true
51.31,144270,true
50.84,145271,true
50.14,146273,true
48.25,147274,true
47.15,148277,true
46.29,149278,true
44.50,150280,true
43.24,151282,true
31.96,152283,true
48.97,165305,false
48.54,166307,true
47.54,167309,true
47.14,168312,true
46.39,169314,true
44.98,170316,true
44.81,171318,true
44.21,172319,true
42.76,173321,true
41.01,174323,true
32.84,175325,true
41.31,178330,false
41.68,179332,true
41.20,180334,true
40.43,181335,true
39.67,182337,true
47.84,187343,false
46.52,188344,true
44.95,189347,true
43.68,190350,true
42.93,191353,true
52.49,192355,true
44.94,193357,true
43.85,194359,true
36.62,195360,true
46.46,216394,false
46.59,217397,true
46.01,218398,true
44.35,219399,true
43.87,220400,true
42.85,221402,true
41.35,222403,true
40.75,223404,true
40.50,224405,true
38.82,225406,true
38.06,237428,false
37.46,277490,false
36.43,317561,false
47.00,356631,false
45.46,357632,true
36.05,358634,true
35.03,363641,false
32.96,406717,false
38.68,452797,false
37.42,498877,false
56.11,545958,false
55.18,546959,true
54.57,547961,true
53.96,548962,true
53.26,549964,true
59.10,550967,true
58.04,551969,true
48.88,552971,true
50.82,553972,true
49.53,554973,true
49.73,555975,true
48.33,556978,true
45.79,557980,true
43.57,558983,true
41.86,559987,true
41.06,560988,true
38.99,561990,true
51.99,598061,false
49.63,599062,true
49.12,600064,true
38.62,601066,true
36.55,617088,false
35.96,664169,false
44.62,715257,false
42.00,716258,true
41.22,717259,true
33.19,718261,true
32.69,773358,false
20.68,826458,false
19.75,841479,false
17.98,842481,true
17.60,843482,true
22.53,844484,true
30.51,857505,false
21.72,902596,false
20.27,947668,false
24.76,996755,false
23.85,1045842,false
29.26,1090921,false
36.19,1138002,false
35.17,1186092,false
45.68,1232166,false
45.83,1233167,true
46.00,1234168,true
54.59,1235169,true
52.93,1236171,true
51.86,1237172,true
51.94,1238174,true
60.20,1239177,true
60.28,1252205,false
59.56,1267229,false
59.95,1268231,true
50.91,1269232,true
49.71,1270234,true
49.03,1271236,true
47.96,1272237,true
47.40,1273238,true
45.69,1274239,true
44.17,1275241,true
47.70,1276242,true
46.67,1277244,true
45.98,1278246,true
45.22,1279247,true
43.83,1280248,true
41.70,1281249,true
40.05,1282251,true
38.19,1283252,true
38.26,1310306,false
36.75,1347372,false
44.64,1395456,false
36.95,1396457,true
36.47,1430519,false
42.94,1477601,false
41.15,1478602,true
40.42,1479604,true
33.85,1480606,true
32.77,1484613,false
31.32,1504654,false
29.92,1558746,false
29.26,1613838,false
34.23,1668931,false
47.80,1725034,false
47.81,1726037,true
47.08,1727042,true
53.63,1728044,true
52.76,1729046,true
51.79,1730047,true
49.61,1731048,true
49.96,1732049,true
49.84,1733051,true
48.13,1734052,true
50.55,1735054,true
50.65,1736056,true
57.36,1737057,true
57.15,1738058,true
62.14,1739059,true
61.64,1759091,false
61.55,1760092,true
59.96,1761093,true
59.65,1762095,true
58.92,1763098,true
