BatteryLevel,CPUCycles,Checkpoint
98.81,9,false
97.36,110,false
96.77,626,false
94.22,1646,false
93.16,2768,false
93.49,4094,false
93.69,5420,false
91.62,6134,false
91.70,7254,false
90.81,7356,false
91.58,7458,false
81.15,8070,false
81.57,8274,false
81.81,8376,false
83.37,8886,false
82.95,10008,false
82.12,11436,false
81.67,12864,false
80.99,13988,false
79.34,15416,false
75.04,16946,false
74.61,18374,false
74.45,19904,false
74.36,21332,false
75.07,22760,false
74.55,24186,false
73.01,25614,false
72.66,26328,false
72.59,27450,false
78.14,28778,false
77.54,30206,false
69.36,31530,false
68.22,32958,false
56.28,34284,false
55.92,35508,false
54.74,36630,false
54.16,37752,false
54.05,38568,false
53.51,39690,false
52.68,40914,false
51.60,41016,false
60.49,42240,false
58.80,43566,false
57.74,46524,false
56.24,52032,false
56.30,58764,false
54.76,62845,false
57.82,63355,false
57.21,67216,false
0.00,71595,true
0.00,71698,true
0.12,71800,true
9.96,71901,true
9.23,72004,true
7.48,72106,true
5.83,72207,true
5.70,72310,true
19.68,72412,true
18.13,72513,true
18.57,72614,true
18.19,72716,true
17.35,72819,true
15.33,72921,true
16.20,73022,true
16.64,73125,true
35.35,73227,true
33.37,73328,false
22.35,78524,false
20.07,86770,false
22.19,89109,false
36.47,90123,false
36.06,90427,false
30.10,91135,false
29.88,91540,false
27.92,92249,false
28.86,93059,false
29.63,93970,false
42.16,94780,false
40.92,95590,false
40.75,96501,false
40.68,97310,false
30.24,98119,false
46.40,100951,false
45.83,105199,false
44.45,109447,false
43.78,113704,false
41.67,119702,false
40.69,125077,false
40.67,130459,false
40.21,131578,false
39.51,134939,false
37.62,139599,false
42.55,144982,false
41.69,149856,false
39.90,155235,false
49.33,160521,false
49.24,166225,false
48.53,170197,false
46.99,171719,false
46.93,176890,false
44.91,182168,false
44.44,187658,false
43.74,192930,false
42.36,198419,false
41.43,203499,false
40.86,203806,false
40.96,203907,false
44.85,209193,false
44.13,213970,false
42.74,220160,false
42.20,226066,false
41.38,232783,false
41.46,238484,false
40.80,244493,false
41.14,245917,false
40.61,252319,false
39.00,258133,false
33.59,265059,false
52.84,271969,false
45.30,277973,false
44.20,282428,false
36.97,285365,false
46.82,287084,false
46.94,287286,false
46.37,293254,false
44.70,303799,false
44.23,315282,false
43.20,328698,false
41.70,341713,false
41.10,355026,false
40.85,369468,false
39.17,380812,false
38.41,391533,false
37.81,402873,false
36.78,413796,false
47.35,426603,false
45.81,428838,false
36.41,439614,false
35.38,452415,false
33.31,465533,false
39.03,478149,false
37.77,486591,false
56.47,496430,false
55.54,499464,false
54.92,502701,false
54.31,512833,false
53.61,522150,false
59.45,531657,false
58.39,541788,false
49.23,551401,false
51.17,559508,false
49.88,580970,false
50.08,605862,false
48.68,630982,false
46.14,645456,false
43.93,653567,false
42.22,674518,false
41.41,698207,false
39.35,722416,false
52.35,746616,false
49.98,758664,false
49.47,780873,false
38.97,812107,false
36.91,839921,false
36.31,855913,false
44.97,861415,false
42.35,887912,false
41.57,917269,false
33.54,949174,false
33.04,955759,false
21.03,978951,false
20.10,1008510,false
18.33,1039187,false
17.95,1039288,true
22.88,1039389,true
30.87,1040605,false
22.07,1044562,false
20.62,1065928,false
25.11,1087487,false
24.20,1095597,false
29.62,1111686,false
36.54,1122235,false
35.52,1142785,false
46.03,1153514,false
46.18,1173267,false
46.36,1182370,false
54.94,1193420,false
53.28,1215696,false
52.21,1235844,false
52.29,1254768,false
60.56,1273192,false
60.63,1280084,false
59.92,1280390,false
60.30,1280796,false
51.27,1283648,false
50.07,1285179,false
49.38,1318317,false
48.32,1359503,false
47.75,1384820,false
46.04,1413309,false
44.52,1443192,false
48.05,1475522,false
47.02,1505400,false
46.33,1535162,false
45.57,1543764,false
44.18,1544172,false
42.05,1578254,false
40.40,1610057,false
38.54,1640834,false
38.61,1673225,false
37.10,1705540,false
45.00,1735514,false
37.30,1750500,false
36.82,1753639,false
43.29,1783500,false
41.50,1790277,false
40.77,1796351,false
34.21,1796657,false
33.12,1830000,false
31.68,1872622,false
30.27,1918548,false
29.62,1941975,false
34.59,1964807,false
48.15,1992637,false
48.16,2024432,false
47.43,2055513,false
53.98,2085166,false
53.12,2115234,false
52.14,2145923,false
49.96,2175485,false
50.31,2189142,false
50.19,2211119,false
48.49,2240175,false
50.90,2258307,false
51.01,2285734,false
57.72,2315706,false
57.51,2327750,false
62.49,2354886,false
61.99,2359235,false
61.90,2366433,false
60.31,2398832,false
60.01,2414321,false
59.27,2437615,false
57.69,2473940,false
56.85,2487821,false
56.26,2494193,false
55.16,2496924,false
54.07,2512624,false
42.86,2541878,false
42.95,2576715,false
42.29,2596143,false
41.32,2620958,false
40.49,2654978,false
39.84,2688571,false
43.54,2699324,false
43.38,2722206,false
41.95,2726764,false
40.47,2753994,false
39.90,2786991,false
37.32,2821531,false
35.34,2853618,false
52.55,2886427,false
51.67,2915781,false
50.42,2948386,false
49.05,2966819,false
50.82,2998095,false
50.32,3023101,false
49.69,3053073,false
49.61,3083251,false
48.41,3114127,false
47.68,3145000,false
47.37,3172949,false
46.06,3183485,false
44.79,3209908,false
43.78,3238555,false
43.81,3268116,false
43.98,3271460,false
43.22,3291803,false
44.94,3320775,false
52.36,3350440,false
50.17,3380908,false
52.24,3408939,false
50.80,3439840,false
49.36,3470822,false
48.83,3486514,false
48.97,3515161,false
47.40,3546552,false
46.28,3578841,false
38.19,3610744,false
37.75,3642824,false
36.80,3677155,false
27.23,3690207,false
42.03,3721913,false
40.85,3744289,false
27.09,3745909,false
26.02,3764431,false
30.28,3797653,false
29.79,3831570,false
43.03,3863876,false
42.18,3885832,false
42.00,3899912,false
38.05,3931090,false
45.27,3946186,false
43.72,3957415,false
42.76,3975244,false
42.46,4007449,false
40.64,4038843,false
39.45,4071947,false
46.17,4105462,false
45.55,4137251,false
44.66,4150820,false
44.25,4183428,false
52.40,4216224,false
51.81,4247727,false
50.05,4281850,false
54.98,4316054,false
54.51,4330946,false
53.98,4366995,false
58.29,4402940,false
57.90,4439900,false
58.06,4474732,false
55.92,4512097,false
