BatteryLevel,CPUCycles,Checkpoint
98.81,9,false
97.36,1010,true
96.77,2012,true
94.22,3014,true
93.16,4016,true
93.49,5018,true
93.69,6020,true
91.62,7022,true
91.70,8024,true
90.81,9026,true
91.58,10028,true
81.15,11030,true
81.57,12032,true
81.81,13034,true
83.37,14036,true
82.95,15038,true
82.12,16040,true
81.67,17042,true
80.99,18044,true
79.34,19046,true
75.04,20048,true
74.61,21050,true
74.45,22052,true
74.36,23054,true
75.07,24056,true
74.55,25058,true
73.01,26060,true
72.66,27062,true
72.59,28064,true
78.14,29066,true
77.54,30068,true
69.36,31070,true
68.22,32072,true
56.28,33074,true
55.92,34076,true
54.74,35078,true
54.16,36080,true
54.05,37082,true
53.51,38084,true
52.68,39086,true
51.60,40088,true
60.49,41090,true
58.80,42092,true
57.74,43094,true
56.24,44096,true
56.30,45098,true
54.76,46100,true
57.82,47102,true
57.21,48104,true
57.34,49106,true
57.15,50108,true
55.48,51110,true
54.86,52112,true
54.72,53114,true
53.65,54116,true
52.50,55118,true
50.12,56120,true
49.11,57122,true
48.60,58124,true
48.01,59126,true
47.39,60128,true
46.06,61130,true
44.22,62132,true
42.29,63133,true
41.44,64134,true
38.44,65137,true
37.69,66140,true
46.37,67143,true
45.95,68148,true
44.90,69151,true
0.00,70153,true
16.09,71156,true
17.35,72158,true
19.47,73160,true
33.75,74162,true
33.34,75164,true
27.38,76166,true
27.16,77169,true
25.20,78170,true
26.14,79172,true
26.91,80174,true
39.44,81175,true
38.00,82177,true
36.41,83179,true
36.88,84180,true
36.65,85182,true
35.65,86184,true
35.05,87186,true
33.52,88189,true
40.43,89190,true
39.77,90191,true
37.59,91194,true
37.71,92195,true
37.36,93196,true
36.37,94197,true
35.51,95198,true
41.83,96199,true
50.39,97200,true
48.94,98201,true
48.03,99202,true
46.35,100203,true
45.45,101204,true
46.32,102205,true
45.33,103206,true
44.93,104207,true
43.91,105208,true
43.11,106209,true
42.49,107214,true
42.13,108215,true
41.07,109216,true
40.10,110217,true
40.46,111218,true
39.99,112219,true
53.41,113221,true
51.74,114223,true
51.28,115224,true
49.96,116226,true
48.38,117228,true
47.12,118229,true
46.37,119230,true
55.93,120232,true
48.38,121234,true
47.29,122236,true
40.06,123240,true
44.27,124242,true
44.40,125243,true
43.82,126244,true
42.16,127245,true
41.68,128247,true
40.66,129248,true
39.16,130249,true
48.22,131251,true
46.60,132252,true
45.56,133253,true
44.80,134254,true
44.20,135256,true
44.69,136257,true
44.95,137259,true
44.32,138264,true
47.78,139265,true
45.85,140267,true
45.02,141270,true
43.96,142274,true
32.78,143275,true
31.34,144277,true
29.59,145279,true
42.37,146280,true
42.48,147282,true
41.88,148283,true
41.15,149285,true
47.00,150286,true
47.00,151287,true
38.37,152289,true
50.87,153290,true
49.86,154292,true
49.75,155296,true
48.57,156297,true
46.26,157299,true
44.80,158300,true
43.13,159302,true
32.76,160303,true
45.75,161304,true
43.39,162305,true
42.88,163307,true
32.38,164312,true
30.31,165314,true
29.72,166317,true
38.38,167318,true
37.59,168320,true
42.88,169322,true
43.84,170323,true
44.18,171324,true
44.84,172325,true
44.75,173326,true
42.50,174328,true
40.70,175329,true
39.61,176330,true
38.58,177331,true
43.87,178333,true
44.17,179334,true
43.53,180335,true
31.27,181337,true
29.89,182338,true
41.48,183340,true
40.52,184343,true
39.34,185345,true
38.55,186346,true
38.05,187348,true
46.54,188350,true
55.41,189352,true
53.85,190356,true
52.04,191357,true
50.81,192358,true
49.43,193359,true
38.93,194361,true
37.83,195366,true
43.75,196367,true
43.50,197368,true
41.21,198372,true
41.39,199373,true
39.62,200375,true
40.45,201378,true
40.07,202379,true
38.79,203380,true
29.34,204382,true
36.79,205383,true
34.11,206384,true
50.44,207385,true
50.70,208386,true
50.54,209388,true
49.60,210393,true
49.42,211394,true
47.24,212395,true
46.66,213397,true
45.16,214399,true
37.18,215400,true
36.79,216401,true
43.05,217402,true
41.94,218405,true
40.05,219408,true
39.98,220411,true
39.78,221414,true
38.65,222417,true
53.03,223420,true
51.76,224423,true
51.11,225425,true
50.31,226427,true
47.69,227428,true
47.03,228430,true
44.54,229432,true
36.35,230433,true
36.09,231435,true
53.40,232437,true
52.55,233438,true
53.70,234440,true
53.32,235442,true
56.92,236443,true
57.32,237447,true
64.30,238448,true
62.59,239450,true
68.77,240451,true
68.13,241453,true
67.03,242454,true
65.04,243457,true
64.00,244459,true
63.71,245462,true
61.77,246465,true
60.57,247468,true
60.03,248471,true
59.45,249474,true
57.05,250475,true
56.57,251478,true
57.72,252479,true
57.81,253480,true
57.14,254484,true
56.18,255485,true
55.35,256487,true
54.70,257489,true
53.72,258491,true
52.48,259493,true
51.62,260495,true
49.49,261497,true
48.85,262499,true
48.71,263501,true
48.52,264502,true
48.55,265503,true
47.70,266506,true
47.43,267509,true
45.86,268512,true
38.25,269515,true
36.81,270518,true
50.62,271521,true
48.90,272524,true
47.52,273527,true
47.15,274530,true
45.27,275532,true
43.84,276533,true
44.42,277535,true
43.67,278536,true
42.18,279537,true
41.39,280538,true
41.01,281539,true
36.29,282542,true
26.55,283543,true
24.21,284545,true
33.96,285546,true
46.48,286547,true
50.20,287548,true
49.19,288549,true
48.36,289550,true
52.29,290553,true
50.84,291554,true
48.63,292555,true
51.70,293557,true
45.75,294558,true
45.46,295559,true
37.06,296560,true
23.89,297561,true
35.83,298562,true
47.20,299566,true
45.51,300569,true
43.90,301571,true
43.35,302573,true
43.18,303576,true
41.38,304578,true
40.55,305579,true
40.91,306581,true
39.35,307582,true
38.32,308583,true
37.20,309584,true
36.61,310586,true
43.51,311587,true
43.21,312589,true
41.20,313591,true
40.36,314592,true
48.51,315593,true
48.27,316598,true
47.59,317599,true
51.97,318600,true
44.63,319601,true
41.82,320602,true
32.06,321604,true
30.44,322605,true
30.80,323606,true
44.55,324607,true
43.75,325608,true
41.94,326611,true
40.82,327614,true
27.52,328615,true
27.21,329616,true
26.99,330618,true
30.98,331619,true
36.33,332620,true
28.56,333621,true
27.47,334622,true
26.34,335623,true
25.83,336625,true
24.44,337626,true
17.40,338630,true
16.50,339632,true
16.48,340633,true
13.82,341634,true
13.08,342637,true
31.91,343638,true
30.01,344640,true
30.21,345641,true
29.53,346642,true
39.81,347643,true
39.55,348645,true
